"id","Name","Universe","Alignment","Eye_Color","Sex","GSM","Alive","AppearanceBin","Inaugural_Mo","Inaugural_Yr","IdentitiyStatus","URL","TotalAppearances"
1,"Spider-Man (Peter Parker)","marvel","Good Characters","Hazel Eyes","Male Characters","","Living Characters",40,"Aug",1962,"Secret Identity","https://marvel.fandom.com/Spider-Man_(Peter_Parker)",4043
2,"Captain America (Steven Rogers)","marvel","Good Characters","Blue Eyes","Male Characters","","Living Characters",34,"Mar",1941,"Public Identity","https://marvel.fandom.com/Captain_America_(Steven_Rogers)",3360
3,"Wolverine (James \""Logan\"" Howlett)","marvel","Neutral Characters","Blue Eyes","Male Characters","","Living Characters",31,"Oct",1974,"Public Identity","https://marvel.fandom.com/Wolverine_(James_%22Logan%22_Howlett)",3061
4,"Iron Man (Anthony \""Tony\"" Stark)","marvel","Good Characters","Blue Eyes","Male Characters","","Living Characters",30,"Mar",1963,"Public Identity","https://marvel.fandom.com/Iron_Man_(Anthony_%22Tony%22_Stark)",2961
5,"Thor (Thor Odinson)","marvel","Good Characters","Blue Eyes","Male Characters","","Living Characters",23,"Nov",1950,"No Dual Identity","https://marvel.fandom.com/Thor_(Thor_Odinson)",2258
6,"Benjamin Grimm (Earth-616)","marvel","Good Characters","Blue Eyes","Male Characters","","Living Characters",23,"Nov",1961,"Public Identity","https://marvel.fandom.com/Benjamin_Grimm_(Earth-616)",2255
7,"Reed Richards (Earth-616)","marvel","Good Characters","Brown Eyes","Male Characters","","Living Characters",21,"Nov",1961,"Public Identity","https://marvel.fandom.com/Reed_Richards_(Earth-616)",2072
8,"Hulk (Robert Bruce Banner)","marvel","Good Characters","Brown Eyes","Male Characters","","Living Characters",20,"May",1962,"Public Identity","https://marvel.fandom.com/Hulk_(Robert_Bruce_Banner)",2017
9,"Scott Summers (Earth-616)","marvel","Neutral Characters","Brown Eyes","Male Characters","","Living Characters",20,"Sep",1963,"Public Identity","https://marvel.fandom.com/Scott_Summers_(Earth-616)",1955
10,"Jonathan Storm (Earth-616)","marvel","Good Characters","Blue Eyes","Male Characters","","Living Characters",19,"Nov",1961,"Public Identity","https://marvel.fandom.com/Jonathan_Storm_(Earth-616)",1934
11,"Henry McCoy (Earth-616)","marvel","Good Characters","Blue Eyes","Male Characters","","Living Characters",18,"Sep",1963,"Public Identity","https://marvel.fandom.com/Henry_McCoy_(Earth-616)",1825
12,"Susan Storm (Earth-616)","marvel","Good Characters","Blue Eyes","Female Characters","","Living Characters",17,"Nov",1961,"Public Identity","https://marvel.fandom.com/Susan_Storm_(Earth-616)",1713
13,"Ororo Munroe (Earth-616)","marvel","Good Characters","Blue Eyes","Female Characters","","Living Characters",15,"May",1975,"Public Identity","https://marvel.fandom.com/Ororo_Munroe_(Earth-616)",1512
14,"Clinton Barton (Earth-616)","marvel","Good Characters","Blue Eyes","Male Characters","","Living Characters",14,"Sep",1964,"Public Identity","https://marvel.fandom.com/Clinton_Barton_(Earth-616)",1394
